Acrelândia,  11 520,AC,1200013
Assis Brasil,  5 351,AC,1200054
Brasiléia,  19 065,AC,1200104
Bujari,  6 543,AC,1200138
Capixaba,  8 446,AC,1200179
Cruzeiro do Sul,  73 948,AC,4306205
Epitaciolândia,  13 434,AC,1200252
Feijó,  31 288,AC,1200302
Jordão,  6 059,AC,1200328
Mâncio Lima,  13 785,AC,1200336
Manoel Urbano,  7 148,AC,1200344
Marechal Thaumaturgo,  13 061,AC,1200351
Plácido de Castro,  17 258,AC,1200385
Porto Acre,  13 716,AC,1200807
Porto Walter,  8 170,AC,1200393
Rio Branco,  290 639,AC,5107206
Rodrigues Alves,  12 428,AC,1200427
Santa Rosa do Purus,  3 948,AC,1200435
Sena Madureira,  34 230,AC,1200500
Senador Guiomard,  18 863,AC,1200450
Tarauacá,  32 171,AC,1200609
Xapuri,  14 314,AC,1200708
Água Branca,  19 316,AL,2700102
Anadia,  17 274,AL,2700201
Arapiraca,  202 398,AL,2700300
Atalaia,  50 323,AL,4102208
Barra de Santo Antônio,  13 731,AL,2700508
Barra de São Miguel,  7 247,AL,2700607
Batalha,  16 247,AL,2700706
Belém,  5 031,AL,2700805
Belo Monte,  7 238,AL,2700904
Boca da Mata,  25 145,AL,2701001
Branquinha,  11 796,AL,2701100
Cacimbinhas,  9 843,AL,2701209
Cajueiro,  20 076,AL,2701308
Campestre,  6 016,AL,3111002
Campo Alegre,  45 307,AL,4203303
Campo Grande,  9 563,AL,5002704
Canapi,  17 793,AL,2701605
Capela,  17 034,AL,2801306
Carneiros,  8 044,AL,2701803
Chã Preta,  6 953,AL,2701902
Coité do Nóia,  10 916,AL,2702009
Colônia Leopoldina,  19 363,AL,2702108
Coqueiro Seco,  5 336,AL,2702207
Coruripe,  51 027,AL,2702306
Craíbas,  22 411,AL,2702355
Delmiro Gouveia,  46 599,AL,2702405
Dois Riachos,  10 885,AL,2702504
Estrela de Alagoas,  16 694,AL,2702553
Feira Grande,  21 180,AL,2702603
Feliz Deserto,  4 370,AL,2702702
Flexeiras,  11 928,AL,
Girau do Ponciano,  35 162,AL,2702900
Ibateguara,  15 359,AL,2703007
Igaci,  25 140,AL,2703106
Igreja Nova,  22 925,AL,2703205
Inhapi,  17 637,AL,2703304
Jacaré dos Homens,  5 724,AL,2703403
Jacuípe,  6 883,AL,2703502
Japaratinga,  7 463,AL,2703601
Jaramataia,  5 939,AL,2703700
Jequiá da Praia,  11 430,AL,2703759
Joaquim Gomes,  21 735,AL,2703809
Jundiá,  4 569,AL,2703908
Junqueiro,  24 460,AL,2704005
Lagoa da Canoa,  17 889,AL,2704104
Limoeiro de Anadia,  25 484,AL,2704203
Maceió,  896 965,AL,2704302
Major Isidoro,  18 811,AL,2704401
Mar Vermelho,  4 014,AL,2704906
Maragogi,  25 726,AL,2704500
Maravilha,  10 203,AL,4210506
Marechal Deodoro,  45 141,AL,2704708
Maribondo,  13 865,AL,2704807
Mata Grande,  24 599,AL,2705002
Matriz de Camaragibe,  24 656,AL,2705101
Messias,  15 072,AL,2705200
Minador do Negrão,  5 160,AL,2705309
Monteirópolis,  7 090,AL,2705408
Murici,  25 964,AL,2705507
Novo Lino,  11 903,AL,2705606
Olho d'Água das Flores,  19 885,AL,2705705
Olho d'Água do Casado,  8 139,AL,2705804
Olho d'Água Grande,  4 817,AL,2705903
Olivença,  10 522,AL,2706000
Ouro Branco,  11 049,AL,3145901
Palestina,  4 878,AL,3535002
Palmeira dos Índios,  70 151,AL,2706307
Pão de Açúcar,  23 855,AL,2706406
Pariconha,  10 209,AL,2706422
Paripueira,  9 725,AL,2706448
Passo de Camaragibe,  13 826,AL,2706505
Paulo Jacinto,  7 534,AL,2706604
Penedo,  59 020,AL,2706703
Piaçabuçu,  17 466,AL,2706802
Pilar,  31 627,AL,2706901
Pindoba,  3 126,AL,2707008
Piranhas,  23 910,AL,5217203
Poço das Trincheiras,  12 205,AL,2707206
Porto Calvo,  25 129,AL,2707305
